uuid,Name,"Max Voltage, dBV","Max Current, dB(mA)","Impedance , ohm"
8fbf44ea-a852-48db-b237-3c5e6bb2c656,DAART Aquila II Single-ended Out,17.49,45.04,1.13
9559ce3e-c729-4b9c-9bcd-dfa532809ee1,DAART Canary II,16.85,40.54,2.31
e69f392c-d4d7-4782-b2f5-a0531ff188f3,Dared EF-99 Hi Gain,11.97,22.73,11.71
41eb54ea-5181-4501-a835-6d6b30b0d583,Dared EF-99 Low Gain,3.23,34.66,2.82
f64d1a61-89f3-4e49-9fc0-2d88d3e8787f,Dared EF-99 Mid Gain,9.81,26.49,6.39
62ff685d-bab0-4582-a611-796b7258b74f,Dared HPA-55L Balanced Out,6.93,20.38,10.71
843cb8c7-ea9d-4a30-9113-187b0652fe81,Dared HPA-55L Single-ended Out,-5.44,19.07,5.51
4e245547-550e-4582-8251-1705b1f06757,Denon DA-10 Hi Gain,3.73,10.39,10.96
66e6afca-c620-4b38-bfb7-3791fbbcecca,Digma S4,-5.02,0.43,0.75
ab62d177-ce71-4022-878d-d86737d00ad3,DIY 6N2-FU32 Out 1,1.17,30.61,3.7
b2a638ea-46bf-4721-af88-b21d0e912c3c,DIY 6N2-FU32 Out 2,-3.38,30.33,3.5
da3d7e7d-ede6-44bf-bfda-da92e795fcd1,DIY Beta 22,12.63,47.84,0.18
7ee74792-e29d-45ea-8270-fd2eac33f603,DIY HeadAMP lakkarius,17.39,50.21,2.21
078843ff-69e6-429a-a8ca-1fbd8f309f42,DIY Monster Zen,13.76,47.79,1.9
51e3d127-c8ba-4c4c-92c3-ddf2062efe56,E-MU 1616m,10.79,19.51,22.06
ff3079a8-e80a-4f22-9208-e64f4dd9260f,E1DA 9038SG3,10.17,42.6,0.19
9378e289-b9ad-422a-bea9-5c6430e38d9a,Ensoniq ES1370,9.11,29.79,0.83
f5365728-fc76-4e2d-aaee-ba2419f3612c,Erzetich Bacillus Tilia,17.09,23.59,57.41
14cfa8fc-c80c-4a6b-81c9-3345bfafdb02,Erzetich Perfidus,15.86,37.2,71.76
8723ca0e-b22b-464c-bac5-e0358dca6b2b,EVGA Nu Audio,13.5,38.57,0.29
7b4d967f-c05b-48fe-a853-86477201ad6f,EXEQ P-1001,-17.93,-2.89,57.76
fe3f3e43-c21b-4789-bf7a-4fa3c0b315d7,EXEQ P-1021,-17.34,-1.32,65.11
f0353f44-2b8a-47ef-9e90-8031946ed9a9,FiiO A1,-13.58,-5.08,0.09
aa200c2a-b36a-405e-bcea-8b71c1353dbb,FiiO Alpen E17,2.47,31.78,0.1
f8973727-55a6-4ca9-86f0-0a363d9aa5ba,FiiO E10K Olympus 2 Hi Gain Bass Off,-22.47,9.3,1.06
928f0bb4-0e1a-4e54-990f-cd6ec446573d,FiiO E10K Olympus 2 Low Gain Bass Off,-29.29,6.17,1.04
bbbe0c90-9eb5-4039-a617-7a2c0f0ef8c3,FiiO Fujiyama E06,-9.96,9.18,0.1
e00ae40a-001c-4aa4-a416-e53992ffda4e,FiiO K5 Hi Gain,16.21,15.63,0.1
902927f2-6273-4199-8a9c-11b7145b7e92,FiiO K5 Low Gain,5.11,35.77,0.08
e306a46d-d9fd-460e-b409-e579eef7de99,FiiO K5 Mid Gain,12.4,33.74,0.04
26fb05c7-6ece-430a-9736-9188e0478e78,FiiO K5 Pro Hi Gain,4.01,35.51,1.04
d299632b-5d14-4cd3-a3e9-94929b78650c,FiiO K5 Pro Low Gain,-3.11,32.4,1.01
602a47e6-9bb1-402f-88e4-87f15b64f77e,FiiO K5 Pro Mid Gain,0.29,35.81,1.01
7080976d-cf43-4e08-8beb-6ce31222b8e9,FiiO M15 Balanced Out,3.6,37.87,2.11
ba2db28b-1074-424b-aa3e-a27a5d3b9654,FiiO M15 Single-ended Out,-1.92,32.49,1.07
d6ef0427-596a-431c-8af1-c0a0ffeacfe1,FiiO uBTR,-15.93,-18.16,0.24
7f6f8446-04ad-40ed-93c0-ed7405710160,FiiO X1,3.37,6.71,1.82
6bad2b6f-bf0b-45c1-9e92-a8f930e72f61,FiiO X1 MK2,3.52,10.31,1.04
f2251abe-dab9-4191-a34e-6696118352c1,FiiO X3 II Hi Gain,3.99,18.28,0.14
0d68fa05-fc8a-413d-8145-e31f33d3b05d,FiiO X3 II Low Gain,0.41,18.85,0.25
4dde89dc-d035-44ad-93bc-1219671707b1,FiiO X3 III Hi Gain Balanced Out,-3.38,28.8,1.0
0fdbb003-c4e3-408d-8d96-656f85789ef9,FiiO X3 III Hi Gain Single-ended Out,6.6,37.04,1.0
4fe65ea8-09f2-4eed-a043-37aeb87ddf9c,FiiO X3 III Low Gain Balanced Out,-1.39,33.95,1.0
5500d93f-fdd2-484b-8734-0032bf1fcbc1,FiiO X3 III Low Gain Single-ended Out,1.51,36.73,1.0
e80f38af-c17b-4018-b86b-5746b1021977,FiiO X5,9.18,33.0,0.22
21a794ec-7ef1-4b0f-bcb9-c59519f37344,FiiO X5 II Hi Gain,6.68,9.11,0.24
f66077f3-d25a-4f72-8dcb-f4b3a7cd5e63,FiiO X5 II Low Gain,0.2,7.73,0.1
f297c58f-40d4-4fcf-9b32-c07936219bc3,FiiO X5-III Balanced Out,8.76,37.46,2.04
c926575a-a6cb-4125-9816-2ab859b2e9ac,FiiO X5-III Single-ended Out,3.81,38.25,1.01
082a38e4-7764-4e4e-9191-dd16e2a50fe4,FiiO X5-III Turbo Mode Balanced Out,14.07,36.27,2.2
6147e14f-9c99-4858-a8a6-45761396a55c,FiiO X7 AM1,5.1,37.71,0.14
69363ba2-2a28-48d4-a16a-9c3312b65d9d,FiiO X7 AM2,9.72,27.45,0.09
8d30c8a5-4cbb-4b08-a279-a41920c7cd42,FiiO X7 AM2 OLD FW,4.74,18.86,0.1
76e54766-fd9c-4a1f-8859-bbd3fe6a7035,FiiO X7 II Balanced Out,13.0,30.72,1.94
47cb36c6-62c5-4deb-a821-c86c282d9b8a,FiiO X7 II Single-ended Out,6.98,40.05,1.28
ae093bd5-eada-4df7-9822-40212fc571e5,Flang V5 Hi Gain,3.24,7.84,0.34
51183a08-1b9c-4457-8899-4816e3711dc8,Flang V5 Low Gain,-0.57,6.18,0.35
512727cf-d267-4bb8-b6fc-e47ec0396c91,Fly FS504 Cirrus 2 PowerAmp (A5 v703),-12.89,0.93,134.35
70457ee2-ac1b-4884-8e32-1d602ca293c0,Gigabyte GA-A75-UD4H Realtek ALC889A,-5.61,7.48,298.55
269596df-c9f2-46bb-9ed9-40cb75903180,GoVibe Porta Tube+ C4 Op-Amp Mod,3.89,36.97,0.03
d06c0e66-4a48-4685-b2f5-2813bc35ce45,Grado RA-1,16.06,14.8,0.5
7e27360b-bcd7-49e3-b9f0-87af8cd273b2,Hiby FC3,6.24,13.44,0.09
c463808b-a113-48a1-9736-de83198cdfd9,Hiby FC5 Balanced Out,7.27,16.56,0.19
838d7e88-6041-4770-872b-1178b36c92c6,Hiby FC5 Single-ended Out,1.22,17.57,0.15
52b6875f-c8ad-4879-8383-d32d84183e91,Hiby FD3 Balanced Out,9.35,22.08,0.52
b139ca75-11ac-4abb-8f9e-439f393a1ba1,Hiby FD3 Single-ended Out,5.31,27.43,0.27
8629a6c3-7b86-47ad-9306-2158da1853ba,Hiby New R6 Balanced Out,14.82,26.42,0.25
3d2aed2f-f64b-4e9e-90af-b39446290f4b,Hiby New R6 Single-ended Out,7.75,20.9,0.92
889534f8-532d-4ccf-a69e-dab3018b5782,Hiby R3 Pro Saber Balanced Out,11.6,11.2,1.97
13a1c4c8-8fec-41e3-84be-2080b90a624e,Hiby R3 Pro Saber Single-ended Out,5.4,4.57,1.9
86ae8dcc-de0d-4e7e-b500-bc49d1e9d7f3,Hiby R5 II Class A Mode Off Balanced Out,12.07,6.21,1.08
e544fa1d-05fb-469c-ad40-221631a9c1ff,Hiby R5 II Class A Mode Off Single-ended Out,6.09,6.7,0.64
26f1353d-8415-4d0d-9473-9a9e46d6dd72,Hiby R5 II Class A Mode On Balanced Out,11.96,36.54,0.65
e550ded5-a3f5-483e-b84a-7f4a18193f06,Hiby R5 II Class A Mode On Single-ended Out,6.91,38.19,0.42
c69e20d1-9bed-4186-bc97-b3d67e04502d,Hiby RS2 Balanced Out,10.39,37.43,0.66
d7bd4687-07b2-4bb6-ac97-a9c703c822b3,Hiby RS2 Single-ended Out,4.36,36.68,0.62
7df55d73-6c9c-4f06-8ef4-46a8ece5f9e0,Hiby RS6 Balanced Out,13.61,43.65,0.73
eb6b52bb-b479-420c-82e8-45185e52eea5,Hiby RS6 Single-ended Out,7.62,43.23,0.59
2085f443-378a-4879-ac88-a4f08964b01e,Hiby RS8 Class A Balanced Out,11.18,42.77,0.7
c9b7cc3d-d9e7-4299-be0f-4c78f6afab98,Hiby RS8 Class A Single-ended Out,7.16,40.83,0.64
fdd551a1-dfab-499c-9925-7e93fa3d052b,Hiby RS8 Class A Turbo Balanced Out,13.16,45.84,0.7
b23785de-f9cd-4865-8e15-97f316232de9,Hiby RS8 Class A Turbo Single-ended Out,9.19,42.82,0.65
3f23f4e9-7faa-4099-abd2-13987126e607,Hiby RS8 Class AB Balanced Out,11.18,43.34,0.69
eee3d75b-25fe-43b5-92ca-86a6a0c1d84e,Hiby RS8 Class AB Single-ended Out,7.16,40.83,0.64
4a4fa16f-c01d-4a9f-827c-e9d8e93c6355,Hiby RS8 Class AB Turbo Balanced Out,13.17,45.84,0.7
6d8c1f61-de94-4938-a209-580c88616746,Hiby RS8 Class AB Turbo Single-ended Out,9.19,42.82,0.65
0e4ea138-b3ca-4379-bf34-4b71f60016b5,Hidizs AP100,6.01,21.72,0.34
a5706e59-2b65-44d1-9e4a-13256d32a83a,Hidizs AP200,3.03,28.04,5.29
b9d31315-f18d-480c-938e-76ce2cadc981,Hidizs S9 Pro Balanced Out,12.21,15.33,0.53
a22fd29f-f77e-4a54-80b7-2ace2b811527,Hidizs S9 Pro Single-ended Out,6.17,11.47,0.27
051764c3-02a8-439e-90d8-533682f53f67,HiFiMan Bluemini,5.93,-1.44,1.17
1f635fa2-3935-4059-ad3c-320135ccd94f,HiFiMan EF 400 Balanced Out,23.33,47.47,9.75
546bf050-54ed-4831-857d-eee7984ec5aa,HiFiMan EF 400 Single-ended Out,17.18,43.76,4.9
edfbafe3-d478-46d1-9220-76effef9ebea,HiFiMan HM 802 Balanced Card Balanced Out,4.46,22.91,11.3
abce3c07-bcf1-49ae-8d1d-855255c18555,HiFiMan HM 802 Balanced Card Single-ended Out,1.43,25.49,0.26
14d3f39b-98f3-410b-8648-7d1ef576ea82,HiFiMan HM 802 Gandi,2.93,14.05,0.26
7b85a6e0-346f-40f9-8b57-7b51c320b80f,HiFiMan HM 802 MiniBox,6.85,21.08,0.33
