uuid,Name,Sensitivity,Sensitivity2,Impedance,acoustic_design,type
003b7b29-6443-4f25-bf24-91f945093ab2,Audio-Technica ATH-AD2000,121.55,108.17,45.9,Open,full
d5df2cc5-6ef4-4fc0-acb3-c98b14ecf0e4,Audio-Technica ATH-AD300,117.24,103.45,41.77,Open,full
887e8dd6-011e-4d02-9d88-1eeb708fade9,Audio-Technica ATH-AD500,118.2,104.89,46.67,Open,full
5ea713ce-540b-4186-8da1-4ced9ff75172,Audio-Technica ATH-AD500X,118.26,105.63,54.65,Open,full
27ce446d-d5b7-4c78-b5e3-88e546a3c221,Audio-Technica ATH-AD700 Default,117.45,103.1,36.78,Open,full
78d63cbf-273f-4543-8f54-e214f7b71984,Audio-Technica ATH-AD700 MOD,115.01,100.67,36.87,Open,full
ddd1500c-c0c4-4c3b-b891-33fb6e8aa3f9,Audio-Technica ATH-AD700X,117.77,103.74,39.57,Open,full
b154df61-a736-47f9-ada3-746fdd486846,Audio-Technica ATH-AD900,116.88,102.84,39.47,Open,full
b44454a9-a994-41bd-8552-1d791dbdd3d0,Audio-Technica ATH-ADX5000,103.14,100.12,498.87,Open,full
19d98487-a2cb-49cc-b8bb-4bc0af8b5fe8,Audio-Technica ATH-CK1,122.46,104.67,16.65,Closed,iem
9c0de8e8-1706-445d-b90b-ad76977645ed,Audio-Technica ATH-CK7,124.25,106.8,18.0,Closed,iem
679524f5-2229-4616-9d6c-18b5e2b84e4f,Audio-Technica ATH-CK9,126.48,106.93,11.1,Closed,iem
34a8aac0-cb75-45fa-a746-76efb7dcc5b6,Audio-Technica ATH-E40,127.73,108.64,12.32,Closed,iem
959e114f-6aff-4881-b701-7f66235a7f54,Audio-Technica ATH-ES10,118.54,105.11,45.41,Closed,earpad
0ca189ca-3774-4fcd-8900-5d9afc728be7,Audio-Technica ATH-ES3,111.94,97.76,38.18,Closed,earpad
097857b2-af21-4cf6-b4ae-64c2cfdda7ab,Audio-Technica ATH-ES55,114.09,99.97,38.76,Closed,earpad
1ceef741-32ab-4fa8-9790-99bf41764f16,Audio-Technica ATH-ES7,123.77,109.34,36.01,Closed,earpad
da8b369a-8aee-4ed5-9517-64e995b8f1b2,Audio-Technica ATH-ESW11LTD-2022 Not a tight fit,122.78,109.19,43.75,Closed,earpad
8e38d4cc-f496-4014-9a86-904127db4cd2,Audio-Technica ATH-ESW11LTD-2022 Tight Fit,124.45,110.86,43.75,Closed,earpad
7ac18f81-7dde-473f-b4ed-01b664d22a1a,Audio-Technica ATH-FC700,111.04,97.51,44.35,Closed,earpad
305d5e55-55a5-4e8b-833c-5342c6db3da4,Audio-Technica ATH-LS200iS,131.88,118.71,48.14,Closed,iem
8507f830-4b09-4cfd-a803-d83a112b517a,Audio-Technica ATH-M20,108.03,94.68,46.31,Closed,full
5d3f8b3d-5e86-49c9-95d8-9f62657acc8f,Audio-Technica ATH-M20x,113.33,100.47,51.8,Closed,full
9cc3623b-1a60-49f8-ae43-b37820c2a23e,Audio-Technica ATH-M30x,114.85,101.85,50.03,Closed,full
1662fa14-1fee-4f28-b347-6687be2b67cc,Audio-Technica ATH-M35,110.66,98.95,67.46,Closed,full
75c898de-fddc-4463-9447-bc0e559cd645,Audio-Technica ATH-M40x,113.39,99.25,38.55,Closed,full
a6e4530d-7134-4e36-a7fd-07200c170f21,Audio-Technica ATH-M50,113.86,99.71,38.43,Closed,full
aaafeaf6-6609-4dd1-a198-93dabf71d77d,Audio-Technica ATH-M50s,121.89,107.71,38.23,Closed,full
f31f835c-9ada-4130-bfe6-baca6ee9a5b0,Audio-Technica ATH-M50x,114.64,100.34,37.14,Closed,full
8b3aaca6-1ed1-4990-8fd6-842e42bc2cd2,Audio-Technica ATH-M60X,119.52,105.1,36.1,Closed,earpad
ed437e9d-41a9-48e9-9430-d76025da2c4c,Audio-Technica ATH-M70x,117.18,102.67,35.39,Closed,full
5762ba8d-64ea-4313-867d-de7419882bc9,Audio-Technica ATH-MSR7 Default,117.68,103.22,35.79,Closed,full
b6211667-17a4-40e4-b881-8ced693d23c0,Audio-Technica ATH-MSR7 No damper,119.54,104.99,35.05,Closed,full
d22ae689-ecb4-4d41-a9c8-d3317a8b7b69,Audio-Technica ATH-PRO5 MK2,117.88,104.06,41.5,Closed,full
902574e3-8de2-44ef-a962-551718f2c666,Audio-Technica ATH-PRO5 MK3,117.18,102.94,37.65,Closed,full
f0936b30-8992-4b99-80f3-be1ea506547c,Audio-Technica ATH-PRO500,116.69,102.44,37.53,Closed,full
